ComplejoRacial,Raza_Primaria,Informacion1
Complejo de Ocho Hileras ,Ancho,"Su distribución original corresponde al estado de Guerrero y Morelos; se ha expandido también a Michoacán y Jalisco, y se han observado materiales tipo Ancho en la parte alta de Oaxaca. Se está expandiendo su cultivo por su uso especial para pozole por su tamaño de grano muy grande y por la característica del endospermo que absorbe bien la humedad y revienta. Adaptación a altitudes intermedias 800 a 1800 m y lo han estado adaptándolo hasta 2400 m en el Valle de México. Preferido para elote suave y dulce. Valor del grano hasta 5 veces el precio normal del grano común ($16.00 por kilogramo en Jalisco). "
Complejo Sierra de Chihuahua ,Apachito,"Se distribuye en regiones donde las condiciones de suelo, clima y precipitaciones limitan el desarrollo de otras razas. Parece ser el maíz más precoz para las zonas templadas del país. Posiblemente la única alternativa para las zonas altas de Chihuahua para evitar el periodo corto libre de heladas en la parte más alta de la Sierra Tarahumara. Material blando, suave, con pericarpio grueso de 63 micras y tiene el germen grande 13.3% y se cuece bien rápido. Usos para palomitas, botana, pinole. También se presentan tipos semicristalinos a cristalinos."
 Complejo Cónico ,Arrocillo Amarillo,"Adaptado a las partes altas de la Sierra Norte de Puebla, por lo tanto es el sostén de muchas comunidades náhuatl. Prospera en lugares con abundante nubosidad y humedad relativa alta. Las formas blancas se utilizan para tortilla, hay formas de color obscuro que tienen alto contenido de antocianinas ya que estas se presentan tanto en pericarpio como en aleurona. Algunas formas o variantes, de grano predominantemente cristalino y de carácter reventador pueden ser adecuadas para la producción de palomitas. "
Complejo Sierra de Chihuahua ,Azul,"Pericarpio grueso 60 micras y muy suaves. Tiene muy buen rendimiento de tortilla y esta calidad es similar a la del Cristalino de Chihuahua. Usos: tortilla y atoles. Hace unos años atrás existía una explotación semicomercial de esta raza para extraer pigmento que se exportaba para Estados Unidos y la Comunidad Económica Europea para colorear alimentos, también se estaba usando para la elaboración de totopos y frituras en E.U "
Complejo de Ocho Hileras ,Blando,"Las muestras de esta raza no son muy comunes, sin embargo es posible encontrarla en las comunidades y con la gente que continua haciendo “coricos”, una forma de galleta tradicional; también es usada para agregarse en el pozole o bien en el menudo, para elotes y en menor utilización para tortillas. Las evaluaciones fisicoquímicas y bromatológicas de la accesión SON125 (altitud 410 msnm) arrojan que el grano es grande (PMG 308 g) y suave apropiado para la elaboración de atoles o como espesante en alimentos. "
Complejo de Ocho Hileras ,Bofo,"Fue descrito como el maíz sagrado de los Coras y Huicholes en Jalisco y Nayarit respectivamente, donde se conservan 4 o 5 colores de grano distintos que asocian a usos religiosos. En leyendas le dan mayor aprecio al color azul. Por sus características harinosas semejantes a Elotes Occidentales se destina a diferentes usos, como elotes, pozoles, atoles, pinoles, tesgüino (bebida refrescante y fermentada) etc.)."
Complejo de Ocho Hileras ,Bolita,"Calidad para tortillas de gran tamaño (tlayudas), también se usa para pozole. Distribución amplia desde los 1000 hasta los 1800 m. Siembra en suelos delgados. Resistencia a sequía. Presenta buena aptitud combinatoria con materiales de las razas Cónicos Norteño, Celaya, Chalqueño y Tuxpeño. Formas precoces de la raza Bolita dieron lugar a las variedades VS 201 y CAFIME que se usaron y se siguen usando en algunas zonas como generaciones avanzadas en áreas templadas semiáridas de altura (llanos del norte de Guanajuato, Zacatecas, Durango y Chihuahua, Coahuila) en clima BSh. "
 Complejo Cónico ,Cacahuacintle,"Raza de grano harinoso grande con adaptación con especial a suelos de ando, particularmente en el Valle de Toluca, pero que se siembra también en otras áreas de los Valles Centrales de México, es decir es una raza que se siembra en las partes más altas y de temperaturas más bajas de México. Se usa para pozole, elotes, pinole, atole y harina. El kilogramo de grano vale varias veces el valor del maíz común. Granos más suaves y tiene un pericarpio de los más delgados. Susceptible a pudrición de grano. Predominan formas de grano blanco pero también se encuentran negras o azules. Por sus hojas caídas tolera a las granizadas. Esta raza tiene buena adaptación a las condiciones del Valle de Toluca y cuando se siembra en lugares como Texcoco es muy susceptible a pudriciones o bien hay un número alto de plantas jorras, sin embargo para Tlaxcala existen formas más precoces e intermedias que pudieran adaptarse mejor a estas condiciones. "
Complejo de maíces dentados tropicales ,Celaya,"Una de las razas con más productivas y con buena aptitud combinatoria con otras razas, también muy productivas como Chalqueño, Bolita, Cónico Norteño y Tuxpeño por lo que se ha usado ampliamente en mejoramiento genético. Adaptada a alturas intermedias principalmente el Bajío y Jalisco pero se encuentra en muchas otras partes del país de alturas intermedias a donde se ha dispersado en sus formas nativas así como a través de los maíces mejorados. Ha sido desplazada en gran parte por la siembra de sorgo y otros cultivos (hortalizas) así como por maíces mejorados con germoplasma de esa raza combinada con materiales de otras partes del mundo. Predominan las formas de grano de maíz blanco y duro. Lo usan mucho los molineros. Algunos opinan que es una raza reciente. En zonas intermedias con deficiente humedad en la región del Bajío se han seleccionado formas de Celaya más precoces con planta baja pero con mazorca y grano similares a Celaya. "
 Complejo Cónico ,Chalqueño," Una de las razas más productivas. Domina en las partes de los Valles Centrales de México donde no hay maíces mejorados adecuados para estas regiones. Ciclo largo, característica de latencia en la germinación de la semilla, resistencia a la sequía en etapas medias del desarrollo de la planta. Polimórfico, poblaciones específicas para sus ambientes y usos: variantes tipo “crema” especiales para tortillas; “palomo” y otros tipos de grano blanco y textura harinosa para harina de tamal; “azules” para antojitos de ese color; “rojos” –color presente en la aleurona- para antojitos (“burritos” –maíz tostados y garapiñado con piloncillo”) y pinole, amarillos para forraje y tortilla; todas estas variantes producen gran cantidad de biomasa al desarrollar plantas de gran tamaño, aunque esta característica propicia la caída de las plantas –acame- ante los vientos fuertes; presenta alto vigor de germinación y emergencia. Muchas de su forma tienen una alta proporción de desgrane debido a su grano grande y olote delgado; las variantes para tortilla producen un material suave cuando esta recién hecha, ya después se hace muy dura; el defecto que tienen algunas variantes de color es que se pinta la masa gris por lo cual no se industrializa. Presentan hojas caídas que soportan las granizadas. El totomoxtle de estas razas es muy apreciado para envolver tamales y para elaboración de artesanías. Es una de las principales fuentes de maíces mejorados para valles y partes altas de México, junto con materiales de la raza Cónico y en menor proporción de la raza Bolita. "
Complejo Chapalote ,Chapalote,"Existen muy pocas colectas de esta raza, sin embargo en las últimas colectas en Sonora y Sinaloa se obtuvieron buenas muestras; es muy apreciado para hacer pinole. Las evaluaciones de características fisicoquímicas y bromatológicas de las accesiones SIN2, SIN6 (altitud 61 m, y 75 m), arrojan que el grano es muy chico (PMG 171.0 g) y con dureza de regular a duro; apropiado para palomitas o rosetas de maíz. "
NA,Chiquito,No información
NA,Choapaneco,No información
Complejo de maíces dentados tropicales ,Comiteco,"Dominan la parte de altitud intermedia de Chiapas, muy productivo y presenta características variables en el tipo de mazorca debido a la influencia de razas que se distribuyen en áreas altitudinales adyacentes. Una de las razas de mazorcas muy largas. Formas blancas, amarillas, azules, negras y rojas. Recientemente se están desarrollando programas de mejoramiento para esta raza, principalmente por su calidad elotera. Forraje. Ciclo muy tardío. Se cultiva en sistemas de alta humedad; algunas variantes se siembran en épocas secas. "
Razas no asociadas a un grupo específico ,Serrano de Jalisco,"Raza no suficientemente estudiada, es un grupo muy variable. Es de los materiales que desarrollan en los límites superiores del piso altitudinal del cultivo del maíz; se ha colectado desde los 1500 a los 2700 m, en la zona montañosa del Volcán de Colima a los llanos de Jalisco en la zona montañosa. Son variantes muy tardías y resistentes a las heladas. Las evaluaciones de características fisicoquímicas y bromatológicas de la accesión JAL175 (altitud 1643 m) arrojan que el grano es regular, pesado (PMG 259.5 g) y duro, apropiado para elaborar botanas. "
Complejo de maduración temprana a tardía ,Conejo,"Conjunto de formas precoces y adaptación a suelos delgados en las costas de Oaxaca, Guerrero y Michoacán. Prolífico (produce varias mazorcas; cuatero). Debido a su precocidad es de los primeros que producen elotes y grano, y por lo tanto su producción permite esperar otras variantes de otras razas tardías. "
 Complejo Cónico ,Cónico," Se desarrolla en las áreas y condiciones semejantes donde se distribuye Chalqueño, sin embargo su principal área de distribución obedece a áreas con baja precipitación o bien con temporal errático. Presentan un vigor de emergencia más alto que el Chalqueño y tolerancia al frío por lo que se distribuyen a mayores altitudes en las faldas de los volcanes del centro de México. Ha sido de interés para agrandar las fronteras altitudinales de la siembra de maíz. La textura de la planta al secarse es más suave y con mejor palatabilidad que los materiales mejorados, por lo que es mejor como pastura para el ganado; la mazorca es más pequeña que Chalqueño."
 Complejo Cónico ,Cónico Norteño,"Materiales adecuados para los llanos al oriente de la Sierra Madre Occidental, norte de Guanajuato hasta el sur de Chihuahua (zonas templadas semiáridas BSh), materiales de altura arriba de 1600 a 2500 m. Formas precoces para la siembra de temporal escaso o crítico. Casi es el único material que se adapta a esas condiciones, no hay tanta diversidad de formas. Una de las razas utilizadas para el mejoramiento genético en el pasado (30 años) en toda la región semiárida; en ocasiones combina bien con materiales de la raza Bolita. "
Complejo de maíces dentados tropicales ,Coscomatepec,"Variantes tardías, de planta robusta y grande, mazorca grande, de buen potencial de rendimiento. Distribución en las partes altas de la escarpa este de la Sierra Madre Oriental, principalmente en el estado de Veracruz. Las evaluaciones de características fisicoquímicas y bromatológicas de la accesión VER406 arroja que el grano es pequeño y duro apropiado para elaborar botanas. "
Complejo Sierra de Chihuahua ,Cristalino de Chihuahua,"Pericarpio grueso de 71 micras. Tiene muy buen rendimiento de tortilla, y también se utiliza para atoles. Esta raza presenta una buena adaptación en Valles Altos Centrales y combina bastante bien con germoplasma de esta región aportando características sobresalientes y vigor hibrido. "
NA,Cubano Amarillo,No información
NA,Dulce,No información
