Id,IdEjemplar,SiglasColeccion,NombreColeccion,NumeroDeCatalogo,Fuente,AnioColecta,NumeroDeColecta,Taxa,Raza,Estado,Municipio,Localidad,AltitudProfundidad,Longitud,Latitud
750,9594,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10152-JSG-RMM-430,FY001,2002,JSG & RMM 430,Zea mays subsp. mexicana raza Mesa Central,Mesa Central,DURANGO,DURANGO,Puente Dalila-Hda. de Dolores,1887,-104.5666667,24.01666667
751,9595,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10153-JSG-RMM-438,FY001,2002,JSG & RMM 438,Zea mays subsp. mexicana raza Mesa Central,Mesa Central,MICHOACÁN DE OCAMPO,CHURINTZIO,"Changuitiro, 1 Km carretera hacia Purepero",1910,-102.05,20.06666667
752,9596,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10154-JSG-RMM-439,FY001,2002,JSG & RMM 439,Zea mays subsp. mexicana raza Mesa Central,Mesa Central,MICHOACÁN DE OCAMPO,CHURINTZIO,Km 3.2 Churintzio-La Noria,1809,-102.0666667,20.16666667
753,9597,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10155-JSG-RMM-440,FY001,2002,JSG & RMM 440,Zea mays subsp. mexicana raza Mesa Central,Mesa Central,MICHOACÁN DE OCAMPO,PENJAMILLO,Penjamillo,1775,-101.9333333,20.1
754,9598,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10156-JSG-RMM-441,FY001,2002,JSG & RMM 441,Zea mays subsp. mexicana raza Mesa Central,Mesa Central,MICHOACÁN DE OCAMPO,PURUANDIRO,Km 2 Puruándiro-Las Pilas,1948,-101.4833333,20.08333333
755,9599,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10157-JSG-RMM-442,FY001,2002,JSG & RMM 442,Zea mays subsp. mexicana raza Mesa Central,Mesa Central,MICHOACÁN DE OCAMPO,ZINAPARO,Jalapa,1917,-102.0333333,20.16666667
756,9600,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10158-JSG-RMM-443,FY001,2002,JSG & RMM 443,Zea mays subsp. mexicana raza Mesa Central,Mesa Central,MICHOACÁN DE OCAMPO,PURUANDIRO,"Km 2 Puruándiro-Cuitzeo, paseo Agua Tibia",1941,-101.4833333,20.08333333
757,9615,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10159-JSG-RMM-444,FY001,2002,JSG & RMM 444,Zea mays subsp. mexicana raza Mesa Central,Mesa Central,MICHOACÁN DE OCAMPO,PURUANDIRO,"Batuecas, 1 Km hacia Cuitzeo",2186,-101.4666667,20.03333333
758,9617,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10160-JSG-RMM-445,FY001,2002,JSG & RMM 445,Zea mays subsp. mexicana raza Mesa Central,Mesa Central,GUANAJUATO,MOROLEON,Piñícuaro,2025,-101.2333333,20.05
759,9618,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10161-JSG-RMM-446,FY001,2002,JSG & RMM 446,Zea mays subsp. mexicana raza Mesa Central,Mesa Central,GUANAJUATO,MOROLEON,"Crucero Sepio, carretera Piñícuaro-Moroleón",1917,-101.1833333,20.06666667
760,9619,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10162-JSG-RMM-447,FY001,2002,JSG & RMM 447,Zea mays subsp. mexicana raza Mesa Central,Mesa Central,GUANAJUATO,URIANGATO,"Uriangato, salida a Yuriria",1880,-101.15,20.16666667
761,9621,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10163-JSG-RMM-448,FY001,2002,JSG & RMM 448,Zea mays subsp. mexicana raza Mesa Central,Mesa Central,MICHOACÁN DE OCAMPO,CUITZEO,2 Km sur Cuamio,1854,-101.15,20
762,9623,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10164-JSG-RMM-449,FY001,2002,JSG & RMM 449,Zea mays subsp. mexicana raza Mesa Central,Mesa Central,MICHOACÁN DE OCAMPO,HUANDACAREO,Hacienda La Estancia,1888,-101.2833333,19.98333333
763,9625,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10165-JSG-RMM-450,FY001,2002,JSG & RMM 450,Zea mays subsp. mexicana raza Mesa Central,Mesa Central,MICHOACÁN DE OCAMPO,COPANDARO,San Agustín del Maíz,1855,-101.1666667,19.88333333
764,9626,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10166-JSG-RMM-451,FY001,2002,JSG & RMM 451,Zea mays subsp. mexicana raza Mesa Central,Mesa Central,MICHOACÁN DE OCAMPO,CHUCANDIRO,Km 267.5 autopista Guadalajara-Morelia,2019,-101.3833333,19.86666667
765,9627,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10167-JSG-RMM-452,FY001,2002,JSG & RMM 451,Zea mays subsp. mexicana raza Mesa Central,Mesa Central,MICHOACÁN DE OCAMPO,CHURINTZIO,Km 351.3 autopista Guadalajara-Morelia,1801,-102.1,20.15
766,9628,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10168-JSG-RMM-453,FY001,2002,JSG & RMM 453,Zea mays subsp. parviglumis raza Balsas,Balsas,MICHOACÁN DE OCAMPO,JUAREZ,1 km norte de Santa Ana,1332,-100.4333333,19.26666667
767,9629,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10169-JSG-RMM-454,FY001,2002,JSG & RMM 454,Zea mays subsp. parviglumis raza Balsas,Balsas,MICHOACÁN DE OCAMPO,TUZANTLA,"Los Guajes, Km 43 Zitácuaro-Huetamo",985,-100.4833333,19.21666667
