Id,IdEjemplar,SiglasColeccion,NombreColeccion,NumeroDeCatalogo,Fuente,AnioColecta,Taxa,Estado,Municipio,Altitud,Longitud,Latitud
479,9933,CIMMYT,Banco de Germoplasma de Maíz,10350-T.spp-893-73,FY001,NA,Tripsacum latifolium,VERACRUZ DE IGNACIO DE LA LLAVE,ND,900,NA,NA
480,9934,CIMMYT,Banco de Germoplasma de Maíz,10351-T.spp-2257-149,FY001,NA,Tripsacum lanceolatum,ZACATECAS,ND,2000,NA,NA
481,9935,CIMMYT,Banco de Germoplasma de Maíz,10352-T.spp-5085-553,FY001,NA,Tripsacum peruvianum,ND,ND,NA,NA,NA
482,9936,CIMMYT,Banco de Germoplasma de Maíz,10356-T.spp-1812-39,FY001,NA,Tripsacum dactyloides mexicanum,ND,ND,NA,NA,NA
483,9937,CIMMYT,Banco de Germoplasma de Maíz,10357-T.spp-7203-2,FY001,NA,Tripsacum dactyloides hispidum,ND,ND,NA,NA,NA
866,9734,CIMMYT,Banco de Germoplasma de Maíz,10242-T.spp-7301-1,FY001,NA,Tripsacum bravum,CHIAPAS,ND,NA,NA,NA
867,9735,CIMMYT,Banco de Germoplasma de Maíz,10243-T.spp-1151-102,FY001,NA,Tripsacum jalapense,CHIAPAS,ND,800,-93.0,16.43
868,9736,CIMMYT,Banco de Germoplasma de Maíz,10244-T.spp-1174-103,FY001,NA,Tripsacum dactyloides hispidum,CHIAPAS,ND,1200,-93.07,16.45
869,9737,CIMMYT,Banco de Germoplasma de Maíz,10245-T.spp-682-62,FY001,NA,Tripsacum dactyloides hispidum,CHIAPAS,ND,1350,NA,NA
870,9743,CIMMYT,Banco de Germoplasma de Maíz,10246-T.spp-1183-104,FY001,NA,Tripsacum intermedium,CHIAPAS,ND,1250,-93.067,16.450
871,9745,CIMMYT,Banco de Germoplasma de Maíz,10247-T.spp-1198-105,FY001,NA,Tripsacum dactyloides hispidum,CHIAPAS,ND,1350,-93.067,16.450
872,9749,CIMMYT,Banco de Germoplasma de Maíz,10248-T.spp-1084-97,FY001,NA,Tripsacum dactyloides hispidum,CHIAPAS,ND,900,NA,NA
873,9750,CIMMYT,Banco de Germoplasma de Maíz,10249-T.spp-1070-96,FY001,NA,Tripsacum jalapense,CHIAPAS,ND,1150,NA,NA
874,9752,CIMMYT,Banco de Germoplasma de Maíz,10250-T.spp-1130-100,FY001,NA,Tripsacum intermedium,CHIAPAS,ND,750,-92.03333333,16.06666667
875,9754,CIMMYT,Banco de Germoplasma de Maíz,10251-T.spp-1134-101,FY001,NA,Tripsacum dactyloides hispidum,CHIAPAS,ND,1300,-92.03333333,16.06666667
876,9755,CIMMYT,Banco de Germoplasma de Maíz,10252-T.spp-1069-95,FY001,NA,Tripsacum manisuroides,CHIAPAS,ND,1200,NA,NA
877,9756,CIMMYT,Banco de Germoplasma de Maíz,10253-T.spp-721-65,FY001,NA,Tripsacum dactyloides hispidum,CHIAPAS,ND,1200,-92.08333333,16.9
